az	nev	vegetarianus	regdatum	erkido
47	Kiss Károly	-1	2008.03.07	9:28:03
48	Tornyos István	0	2008.03.07	9:47:37
49	Marton István	0	2008.03.07	9:14:56
50	Jeny Gusztáv	0	2008.03.07	9:34:11
51	Eisner Attila	0	2008.03.07	8:44:13
52	Komlósi Jácint	0	2008.03.07	9:54:41
53	Budavári Bence	-1	2008.03.07	9:49:33
54	Kiss-Szabó Lóránt	0	2008.03.07	9:34:49
55	Dudás Tamás	0	2008.03.07	10:09:09
56	Turán Zsuzsa	0	2008.03.07	8:39:57
57	Pusztai Imre	0	2008.03.07	9:25:20
58	Lauck János	0	2008.03.07	10:20:40
59	Teleki István	0	2008.03.07	9:30:21
60	Senkey Kálmán	0	2008.03.07	
61	Weiler Zoltán	0	2008.03.07	8:43:08
62	Sebestyén Zoltán	0	2008.03.07	9:42:25
63	Gors Péter	0	2008.03.07	9:03:47
64	Markos Gábor	0	2008.03.07	10:34:01
65	Dócz Gábor	0	2008.03.07	9:28:00
66	Sas László	0	2008.03.08	9:05:34
67	Sebes Csaba	0	2008.03.09	8:52:40
68	Nyakas Ottó	0	2008.03.09	
69	Füst Dezső	-1	2008.03.09	10:35:28
70	Sebok Kálmán	0	2008.03.09	10:13:26
71	Korcsok József	0	2008.03.09	10:39:19
72	Molnár Zoltán	0	2008.03.10	8:43:48
73	Bortoli Sándor	0	2008.03.10	10:02:03
74	Fazekas Zoltán	0	2008.03.10	9:51:48
75	Sebő Tibor	-1	2008.03.10	
76	Lant Imre	-1	2008.03.10	8:52:07
77	Zsók András	0	2008.03.10	9:52:00
78	Szósz Péter	0	2008.03.10	9:39:25
79	Polgár Péter	-1	2008.03.10	10:02:30
80	Klaumer Endre	-1	2008.03.10	8:41:34
81	Urbán Zsófia	0	2008.03.10	9:45:58
82	Kisó Attila	0	2008.03.11	10:29:43
83	Nagy József	0	2008.03.11	8:53:14
84	Szalma József	0	2008.03.11	9:14:15
85	Tan Genovéva	0	2008.03.11	8:51:54
86	Csepp Zoltán	0	2008.03.11	8:34:21
87	Déri József	0	2008.03.11	9:59:34
88	Szűcs Mátyás	0	2008.03.11	8:47:25
89	Fekete Tamás	0	2008.03.11	9:31:36
90	Zombori Zsolt	0	2008.03.11	9:47:25
91	Leander Szabolcs	0	2008.03.11	9:01:26
92	Petres Zsolt	-1	2008.03.11	10:05:52
93	Lindh Anett	0	2008.03.11	10:03:52
94	Grúber Pál	0	2008.03.11	
95	Sós Irén	0	2008.03.11	10:41:47
96	Szekeres Róbert	0	2008.03.11	9:26:53
97	Kovács Olivér	0	2008.03.11	9:11:03
98	Guttmann Imre	0	2008.03.11	8:59:47
99	Berger Georgina	0	2008.03.11	8:55:18
100	Pusztai Péter	0	2008.03.11	9:33:49
101	Kolláth Ottó	0	2008.03.11	8:48:29
102	Péter Attila	0	2008.03.11	8:45:10
103	Hrisztov Idikó	0	2008.03.11	9:44:02
104	Séra Péter	0	2008.03.11	9:54:34
105	Falch Pál	0	2008.03.11	9:05:05
106	Pók Tamás	0	2008.03.12	9:56:50
107	Nyíl Zsóka	-1	2008.03.13	9:40:04
108	Presszer Mónika	0	2008.03.14	10:16:07
109	Eszes Zoltán	0	2008.03.14	9:17:37
110	Opál Kálmán	0	2008.03.14	9:00:22
111	Guzmin Albert	0	2008.03.14	9:32:58
112	Som Tamás	0	2008.03.14	8:43:12
113	Bodnár Zoltán	0	2008.03.14	10:25:28
114	Palotai Tibor	0	2008.03.14	
115	Vlad Ede	-1	2008.03.15	9:05:37
116	Mike Kálmán	-1	2008.03.15	10:04:59
117	Pintér Péter	0	2008.03.15	8:54:53
118	Karsai Béla	0	2008.03.16	9:31:47
119	Szónok Andrea	0	2008.03.16	10:29:01
120	Pásztor Róbert	0	2008.03.17	9:17:21
121	Lózung Klára	0	2008.03.17	9:11:33
122	Stofin Elek	0	2008.03.17	
123	Vida Tamás	0	2008.03.18	9:39:35
124	Csordás Zoltán	0	2008.03.18	8:40:33
125	Lajos Helga	0	2008.03.18	9:04:06
126	Gömöri Pál	-1	2008.03.18	
127	Rém Imre	0	2008.03.18	10:36:02
128	Csontos Krisztina	0	2008.03.18	8:57:22
129	Skvar Tamás	0	2008.03.18	9:08:05
130	Kovács Alina	0	2008.03.18	9:09:16
131	Gyetvai Anna	0	2008.03.18	8:34:56
132	Nik András	0	2008.03.19	10:43:17
133	Károly Attila	0	2008.03.20	10:45:44
134	Kardos Ferenc	0	2008.03.20	8:34:19
135	Halász István	0	2008.03.20	9:56:11
136	Szabó Olga	0	2008.03.21	10:39:20
137	Konrád Terézia	0	2008.03.21	10:43:51
138	Seik Györgyi	0	2008.03.22	10:10:32
139	Késmárky Gábor	0	2008.03.22	9:41:53
140	Kecskés Ottó	0	2008.03.22	9:26:55
141	Domonkos Gábor	0	2008.03.23	9:40:14
142	Pölös Zsolt	0	2008.03.23	8:33:41
143	Varga Péter	0	2008.03.23	10:24:41
144	Németh Vilmos	0	2008.03.23	10:21:37
145	Hrúz Gábor	0	2008.03.23	9:07:16
146	Halmosi Dezső	0	2008.03.23	
147	Farkas István	0	2008.03.23	9:42:32
148	Nyolcas Endre	0	2008.03.23	9:06:04
149	Wollek Ferenc	-1	2008.03.23	8:33:22
150	Máté János	-1	2008.03.23	9:58:52
151	Javai Bernadett	0	2008.03.23	8:56:13
152	Karlsen Zoltán	0	2008.03.23	9:59:54
153	Sarlós Tímea	0	2008.03.23	10:34:58
154	Szűcs Péter	0	2008.03.23	9:33:10
155	Hámori Flóra	0	2008.03.23	10:32:16
156	Tóth Róbert	0	2008.03.23	9:54:46
157	Jeszmás Levente	0	2008.03.23	9:32:32
158	Szőke Ádám	0	2008.03.23	10:30:51
159	Nikk Kende	0	2008.03.23	10:27:44
160	Solymosi Gabriella	0	2008.03.23	10:14:29
161	Kincses Tamás	0	2008.03.23	10:37:11
162	Monostori Imre	0	2008.03.24	9:18:51
163	Fehér József	0	2008.03.24	9:13:18
164	Sütő József	0	2008.03.24	9:48:24
165	Csapó Péter	0	2008.03.24	10:00:23
166	Esztergályos Petronella	0	2008.03.24	
167	Szednicsek Vera	0	2008.03.25	9:53:53
168	Schaff Mátyás	-1	2008.03.25	8:38:38
169	Izsó Ferenc	0	2008.03.25	10:39:54
170	Dombi György	0	2008.03.25	10:33:50
171	Zsolnai Péter	0	2008.03.25	8:36:58
172	Tihanyi Bianka	0	2008.03.25	9:43:08
173	Magyar Rita	0	2008.03.26	9:21:02
174	Müller Ágnes	0	2008.03.26	9:16:01
175	Stabb Boglárka	0	2008.03.26	
176	Szendrődi Hella	0	2008.03.26	8:54:42
177	Nagy Zoltán	0	2008.03.26	9:23:09
178	Halmos Csaba	0	2008.03.26	10:36:17
179	Ádám Roland	0	2008.03.26	8:46:27
180	Bild Emese	0	2008.03.26	9:47:51
181	Zólyomi Béla	0	2008.03.26	10:14:45
182	Blum Flórián	-1	2008.03.26	10:25:47
183	Pipás Imre	0	2008.03.26	10:13:45
184	Pribai Noémi	0	2008.03.26	8:49:24
185	Happ István	0	2008.03.26	9:09:10
186	Tóth Lívia	0	2008.03.26	9:22:09
187	Csíbor Lajos	0	2008.03.26	9:18:10
188	Keszthelyi Máté	0	2008.03.26	10:12:54
189	Garadnai Zoltán	0	2008.03.26	9:33:35
190	Bíró Tibor	0	2008.03.26	9:29:00
191	Kispéter Balázs	0	2008.03.26	9:16:08
192	Lovai Pál	0	2008.03.26	10:39:01
193	Kállai János	0	2008.03.26	
194	Kiss Nóra	0	2008.03.26	9:53:10
195	Budai László	0	2008.03.27	10:40:58
196	Bognár Ernő	0	2008.03.27	
197	Pataki Zoltán	0	2008.03.27	8:47:28
198	Éger József	-1	2008.03.28	9:36:44
199	Mind Emil	0	2008.03.28	9:41:56
200	Tóth Inge	0	2008.03.28	
201	Horváth Mihály	0	2008.03.28	9:25:54
202	Nyers Zoltán	0	2008.03.28	9:04:38
203	Davidov Hugó	0	2008.03.28	10:23:30
204	Kipall Sándor	0	2008.03.28	10:32:52
205	Dobó Ödön	0	2008.03.28	10:03:29
206	Horváth Attila	0	2008.03.28	8:56:27
207	Szedlacsek Tas	0	2008.03.28	9:31:02
208	Gőcze Béla	0	2008.03.28	9:52:33
209	Kozmann Péter	0	2008.03.28	9:12:08
210	Pisty Zelma	0	2008.03.28	9:45:09
211	Holzi Rebeka	-1	2008.03.29	10:25:06
212	Debreceni Alfonz	0	2008.03.29	9:20:35
213	Duma Ilona	0	2008.03.29	10:37:52
214	Kovács Zoltán	0	2008.03.30	8:57:29
215	Tatár Endre	-1	2008.03.30	9:11:20
216	Hirzer Fanni	0	2008.03.30	9:19:41
217	Démon Géza	-1	2008.03.30	9:48:49
218	Kremp István	0	2008.03.30	8:31:23
219	Szolnoki Lajos	0	2008.03.30	8:53:28
220	Keresztes Ferenc	-1	2008.03.30	9:14:37
221	Dábity Ernő	-1	2008.03.31	8:57:06
222	Orosz Pál	0	2008.03.31	10:32:30
223	Sár Árpád	-1	2008.03.31	8:54:24
224	Koch Ervin	-1	2008.03.31	10:12:07
225	Olajos Pál	0	2008.04.01	9:53:33
226	Vass Beáta	0	2008.04.01	9:01:34
227	Weisz Pál	0	2008.04.02	9:55:52
228	Vég Kata	-1	2008.04.02	9:35:47
229	Minek Tamás	0	2008.04.02	10:17:07
230	Lipót Nándor	0	2008.04.03	10:07:07
231	Zerk Géza	0	2008.04.03	9:54:59
232	Szőke Aladár	0	2008.04.03	9:44:52
233	Balog Hugó	0	2008.04.03	10:23:03
234	Szokai Imre	0	2008.04.03	
235	Berényi Ákos	0	2008.04.03	9:17:35
236	Hajas Zsolt	0	2008.04.04	10:24:12
237	Szentei László	0	2008.04.04	8:50:36
238	Ébner Zoltán	-1	2008.04.05	8:48:37
239	Kalmár György	-1	2008.04.05	9:55:20
240	Tóth Zsolt	-1	2008.04.05	8:37:50
241	Koródy Viktória	0	2008.04.05	9:24:02
242	Szabó Tamás	0	2008.04.05	8:38:59
243	Nagy Enikő	0	2008.04.05	9:27:09
244	Bodosi László	0	2008.04.05	9:41:12
245	Fenyves Gábor	0	2008.04.05	9:12:54
246	Tomma Lilla	0	2008.04.06	9:06:16
247	Bordás Emil	0	2008.04.06	10:31:43
248	Miklósi Gusztáv	-1	2008.04.06	10:17:50
249	Budai Virág	0	2008.04.06	8:49:37
250	Jag Károly	0	2008.04.06	8:35:47
251	Hajhtsa Károly	0	2008.04.06	9:02:34
252	Pálos Áron	-1	2008.04.06	10:23:23
253	Tóth Pál	0	2008.04.06	8:44:17
254	Fogó István	-1	2008.04.06	10:12:26
255	Borbás Győző	0	2008.04.06	9:29:34
256	Varga Mihály	-1	2008.04.06	10:35:32
257	Kaltenbrunner Ádám	0	2008.04.06	10:26:00
258	Plólyik Róbert	0	2008.04.06	10:11:14
259	Mach Kristóf	0	2008.04.06	10:18:47
260	Kereki Gábor	-1	2008.04.06	9:38:35
261	Korsós Zsigmond	0	2008.04.06	10:32:50
262	Kertész Jenő	-1	2008.04.07	10:08:45
263	Tóti Norbert	0	2008.04.07	10:01:05
264	Nemes Balázs	0	2008.04.07	9:21:26
265	Borisz Béla	-1	2008.04.07	9:55:10
266	Bálint Karl	0	2008.04.07	10:28:12
267	Kautzky József	0	2008.04.07	10:41:43
268	Kovács Gusztáv	0	2008.04.07	8:32:38
